time,open,high,low,close,volume
2022-02-21,73.32,74.17,73.32,74.0,1017900
2022-02-22,73.66,73.66,71.97,73.49,1540200
2022-02-23,73.66,73.66,72.65,73.58,986300
2022-02-24,73.41,73.49,71.97,72.22,2078700
2022-02-25,72.22,72.73,71.97,72.05,1616500
2022-02-28,72.05,72.05,71.46,71.55,1322100
2022-03-01,71.55,72.31,71.21,71.97,1295400
2022-03-02,72.48,72.48,71.29,71.97,1655600
2022-03-03,71.97,72.39,71.72,72.39,1052200
2022-03-04,72.14,72.39,71.8,71.88,1058100
2022-03-07,71.38,71.88,71.04,71.88,1002800
2022-03-08,70.95,71.55,69.01,69.01,2936300
2022-03-09,69.26,70.36,69.18,70.28,1325300
2022-03-10,70.28,70.87,70.19,70.7,1154100
2022-03-11,70.87,71.04,70.28,70.95,876100
2022-03-14,70.53,71.29,70.45,71.29,1438200
2022-03-15,71.12,71.21,68.58,68.67,2385900
2022-03-16,68.84,70.45,68.84,69.85,1000600
2022-03-17,70.28,70.7,70.02,70.28,1222400
2022-03-18,70.36,72.14,70.19,71.29,1406600
2022-03-21,71.29,72.39,71.12,71.88,933900
2022-03-22,71.88,72.39,71.88,71.88,775100
2022-03-23,71.88,72.48,71.88,71.88,966600
2022-03-24,71.88,71.88,70.7,70.7,570200
2022-03-25,71.12,71.12,69.43,69.85,1137800
2022-03-28,70.28,70.28,69.43,69.77,725400
2022-03-29,69.77,70.28,69.09,69.34,1018600
2022-03-30,69.26,70.7,69.01,69.43,913900
2022-03-31,69.43,69.94,69.43,69.51,492400
2022-04-01,69.51,70.78,68.67,70.11,900300
2022-04-04,70.45,71.21,69.94,69.94,712000
2022-04-05,70.11,70.45,69.94,70.28,526100
2022-04-06,70.19,71.97,69.18,71.63,2009600
2022-04-07,71.88,72.14,70.28,70.28,928000
2022-04-08,71.04,71.04,70.19,70.28,788200
2022-04-12,70.28,70.45,69.09,69.77,841300
2022-04-13,70.28,70.36,69.43,69.77,850700
2022-04-14,69.77,70.19,68.58,68.58,1151400
2022-04-15,68.75,69.01,67.91,67.91,894800
2022-04-18,67.74,67.91,65.7,65.79,1237300
2022-04-19,65.87,66.47,65.7,65.79,1003400
2022-04-20,66.04,66.8,65.79,66.38,904600
2022-04-21,66.38,67.06,66.21,66.38,2178200
2022-04-22,66.97,69.94,66.97,69.6,2776600
2022-04-25,69.6,70.28,65.2,69.26,2479400
2022-04-26,66.89,68.16,66.89,68.16,1912000
2022-04-27,67.65,69.43,66.21,69.01,1429800
2022-04-28,69.01,69.09,67.31,69.01,564100
2022-04-29,68.92,69.68,67.74,68.5,1259200
2022-05-04,68.5,68.58,66.89,67.65,892600
2022-05-05,68.16,69.01,67.4,68.58,1019300
2022-05-06,67.48,68.75,67.23,67.23,775900
2022-05-09,66.72,68.07,65.87,65.96,1674200
2022-05-10,65.28,67.74,65.28,67.74,926000
2022-05-11,67.74,67.99,66.89,67.74,931300
2022-05-12,66.89,67.65,65.2,65.2,972300
2022-05-13,65.2,66.04,61.81,61.81,1963600
2022-05-16,63.93,64.69,62.66,62.83,1558800
2022-05-17,62.83,65.2,61.89,64.35,2262300
2022-05-18,65.2,65.2,63.5,63.84,881000
2022-05-19,63.5,64.94,63.33,64.35,575800
2022-05-20,63.59,64.77,63.5,63.76,661800
2022-05-23,64.01,64.01,62.32,62.99,631600
2022-05-24,63.42,64.1,62.91,64.01,898700
2022-05-25,64.35,65.2,63.33,65.2,817000
2022-05-26,65.2,65.28,64.35,64.94,978900
2022-05-27,64.94,65.53,64.6,65.53,892000
2022-05-30,65.53,68.58,64.69,66.04,1327400
2022-05-31,66.8,66.8,66.04,66.8,483700
2022-06-01,66.89,68.16,66.89,68.16,798800
2022-06-02,68.41,68.41,66.89,66.89,641400
2022-06-03,66.38,67.31,64.69,65.62,527800
2022-06-06,65.62,67.74,63.59,67.48,880500
2022-06-07,66.89,69.43,66.13,68.58,933000
2022-06-08,68.58,68.58,66.72,67.06,1164700
2022-06-09,66.89,67.65,65.79,65.87,1067500
2022-06-10,65.87,66.89,65.53,65.79,390900
2022-06-13,65.2,65.2,62.74,64.69,1105800
2022-06-14,63.93,66.13,62.66,65.2,1066200
2022-06-15,65.53,66.3,63.76,64.77,1243600
2022-06-16,64.94,67.74,64.77,66.97,1209600
2022-06-17,65.2,66.3,64.43,64.43,1050600
2022-06-20,67.31,67.31,63.76,64.35,1089700
2022-06-21,64.35,65.79,63.67,65.79,937100
2022-06-22,65.96,66.04,63.5,64.35,1069200
2022-06-23,63.59,64.94,63.42,64.26,590200
2022-06-24,64.52,64.6,63.16,63.5,648600
2022-06-27,63.93,64.35,63.33,63.42,862500
2022-06-28,63.5,65.2,63.33,64.6,1095800
2022-06-29,64.18,64.26,63.76,63.93,847500
2022-06-30,63.93,64.35,63.33,63.33,678400
2022-07-01,63.08,63.5,61.72,62.66,1383000
2022-07-04,63.42,63.67,62.57,62.74,746200
2022-07-05,63.42,63.42,62.32,62.66,1064500
2022-07-06,62.4,62.57,58.34,61.64,1548200
2022-07-07,61.56,63.93,60.71,63.93,1258400
2022-07-08,63.42,63.5,62.57,62.66,761000
2022-07-11,62.06,62.23,60.96,60.96,660800
2022-07-12,61.05,61.47,60.71,60.88,811500
2022-07-13,60.79,62.15,60.45,60.79,1379900
2022-07-14,60.79,61.64,60.62,61.3,329400
2022-07-15,61.05,62.23,61.05,61.22,597500
2022-07-18,61.39,61.72,60.96,60.96,391400
